Name,1171_M_O_V-W4_CP04543,1166_M_O_V-W4_CP04543,1170_M_O_V-W4_CP04543,1167_M_O_V-W4_CP04543,1169_M_O_V-W4_CP04543,1172_M_O_V-W4_CP04543,1174_M_O_V-W4_CP04543,1168_M_O_V-W4_CP04543,1173_M_O_V-W4_CP04543,1165_MSV-W4_CP04543,1158_MSV-W4_CP04543,1157_MSV-W4_CP04543,1162_MSV-W4_CP04543,1164_MSV-W4_CP04543,1161_MSV-W4_CP04543,1156_MSV-W4_CP04543,1159_MSV-W4_CP04543,1163_MSV-W4_CP04543,1160_MSV-W4_B_CP04543,1176_M_ORX_E-W4_CP04543,1182_M_ORX_E-W4_CP04543,1177_M_ORX_E-W4_CP04543,1185_M_ORX_E-W4_CP04543,1178_M_ORX_E-W4_CP04543,1184_M_ORX_E-W4_CP04543,1179_M_ORX_E-W4_CP04543,1183_M_ORX_E-W4_CP04543,1180_M_ORX_E-W4_CP04543,1181_M_ORX_E-W4_CP04543
L-isoleucine biosynthesis I (from threonine),0.041426096,0.024729906,0,0.017702097,0.033747613,0.014581694,0.034953203,0,0.032009292,0,0.014077204,0,0.036745399,0,0,0.041396804,0,0,0,0.0122237,0.015634997,0.015642397,0.016885106,0.013408502,0.0147532,0.0165333,0.013822005,0.013772599,0.025612209
lactose and galactose degradation I,0.009813018,0.014442404,0,0.005719899,0.010022503,0.014451093,0,0,0.010792497,0,0,0,0,0,0,0,0,0.029181099,0,0.00882541,0.009561988,0.007114539,0.004499251,0.009249471,0.00612589,0.0136125,0.010351905,0.0108828,0.015498906
methylerythritol phosphate pathway I,0.017153399,0,0,0.016017497,0.009770864,0.006946707,0.008986341,0,0.018011795,0,0,0,0,0,0,0.018240001,0,0,0,0.00608798,0,0.015936397,0.011729904,0.013580602,0.0167436,0.013403,0.014129206,0.0117857,0.016053407
pyruvate fermentation to acetate and (S)-lactate I,0.026179597,0.034212708,0.093623511,0.020563297,0.015147805,0.029423086,0.00927191,0,0.015489495,0,0.059292018,0.0240942,0.014213201,0,0.041094437,0.033867501,0,0,0.047706287,0.021296,0.015675096,0.014415197,0.013504804,0.018751804,0.016941501,0.021419,0.020641308,0.0184003,0.02600031
glycolysis IV,0.064686693,0.075668618,0.074664012,0.026350494,0.043768715,0.031983487,0.057784304,0.29635781,0.031603292,0.090573251,0.067767419,0.0599618,0.048649799,0.141880989,0.175866723,0.078394406,0.536011159,0.065691791,0.114824973,0.0247247,0.033358291,0.015793698,0.021847606,0.023530804,0.0125656,0.018202599,0.016680308,0.0143045,0.021180008
L-lysine biosynthesis III,0.011726298,0.013743903,0,0.014231198,0.013636906,0.016051894,0.0166806,0,0.024989992,0.027427817,0,0.016347099,0,0,0,0.0160606,0,0,0,0.0134106,0.016835297,0.014684497,0.012488504,0.015974501,0.0236465,0.011896401,0.013642305,0.015723901,0.021360809
folate transformations II (plants),0.012645499,0,0,0.015895197,0.016199606,0.019630091,0.020352501,0,0.030824291,0.034527916,0,0.031424101,0.032731399,0,0,0,0,0.020986099,0,0.0146883,0.013605497,0.020003997,0.011925303,0.018300602,0.023607699,0.028705301,0.016465306,0.0163837,0.027823109
L-lysine biosynthesis VI,0.014012098,0.015953705,0,0.010506198,0.014372105,0.015055194,0.010757901,0,0.012174796,0.024285914,0,0,0,0,0,0.0144426,0,0.020272598,0,0.0113263,0.014076397,0.015055097,0.010698903,0.017101403,0.0201231,0.013075,0.013964605,0.015623099,0.021969508
pyruvate fermentation to acetate and lactate II,0.026179597,0.034212708,0.093623511,0.020563297,0.015147805,0.029423086,0.00927191,0,0.015489495,0,0.059292018,0.0240942,0.014213201,0,0.041094437,0.033867501,0,0,0.047706287,0.021296,0.015675096,0.014415197,0.013504804,0.018751804,0.016941501,0.021419,0.020641308,0.0184003,0.02600031
L-isoleucine biosynthesis III,0.034425896,0.021499807,0,0.016259797,0.02922051,0.013426594,0.030520402,0,0.027791992,0,0.011378303,0,0.031646099,0,0,0.031098902,0,0,0,0.010387,0.011836297,0.013672197,0.015786406,0.011723702,0.013892,0.0155911,0.013013705,0.0122795,0.022460608
glycolysis II (from fructose 6-phosphate),0.029246297,0.029775808,0,0,0.017956106,0.011940295,0.019019902,0,0,0,0.041529212,0.0331605,0,0.049022097,0,0,0,0,0,0.0162804,0.016655996,0.011586297,0.014808305,0,0,0,0.009149473,0.010281799,0
UMP biosynthesis I,0.019912397,0,0,0.019355996,0.017341007,0.014293494,0.016841803,0,0.020167993,0,0,0.022642301,0.0188157,0,0,0.020604301,0,0.048776697,0.076193377,0.026829099,0.028531592,0.023639496,0.018823806,0.023737103,0.017216099,0.021730199,0.020392608,0.0200582,0.018893007
inosine 5'-phosphate degradation,0.007488679,0,0,0.003998199,0,0.006875977,0.0149065,0,0,0,0,0,0,0,0,0,0,0,0,0.00481982,0.006736498,0.005119159,0.007267232,0.005394501,0.00677247,0.00818948,0.005901992,0.00355307,0
glycogen degradation II,0.020132398,0,0,0.010969198,0,0.015626693,0.018083101,0,0,0,0,0,0,0,0,0,0,0.026189597,0,0.016780499,0,0.014855398,0.009052903,0.012694601,0.0142553,0.019095302,0.015843306,0.015642401,0.020559808
5-aminoimidazole ribonucleotide biosynthesis I,0.006604999,0.008791632,0,0.014526797,0.017825808,0.016149692,0.016658401,0,0.019054394,0.027239015,0.030219311,0.042237502,0,0,0.040718935,0.036127701,0.084647022,0.018554099,0.054371186,0.013907201,0.019536395,0.012650898,0.012692303,0.015244002,0.0175776,0.025296601,0.013192405,0.014452401,0.019936908
5-aminoimidazole ribonucleotide biosynthesis II,0.008821879,0.009985993,0,0.021954296,0.02379101,0.02063559,0.034964804,0.041330773,0.016600994,0.023533814,0.031527109,0.039854102,0.031275999,0,0.042527631,0.050677106,0.083504222,0.018277599,0.102887973,0.017141599,0.023997193,0.018471897,0.014105705,0.018136103,0.0178944,0.027503001,0.017980106,0.016523302,0.021225508
inosine-5'-phosphate biosynthesis I,0.016651899,0.016381804,0.072638109,0.016902396,0.015712906,0.014636793,0.016671002,0,0.025020691,0,0.024663107,0.031722799,0.023982199,0,0,0.019418901,0,0.025385499,0,0.017317699,0.021720795,0.015522797,0.013442004,0.017217102,0.021547301,0.0175789,0.013870706,0.0133283,0.018965507
inosine-5'-phosphate biosynthesis II,0.016717399,0.014562103,0.076300211,0.019505996,0.014697305,0.014477493,0.016802002,0,0.022409294,0,0.017104905,0.028427599,0.021211499,0,0,0.016726902,0,0.023815898,0,0.0168247,0.017555296,0.016780196,0.013520905,0.016764304,0.0214372,0.017281801,0.013447206,0.0135449,0.018198406
superpathway of adenosine nucleotides de novo biosynthesis II,0.014231798,0,0,0.011240198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00203292,0.004262121,0,0,0,0,0,0
S-adenosyl-L-methionine salvage I,0.024479397,0.013456404,0,0.009209128,0.009570134,0.019121893,0.016276002,0,0.008773517,0.023165314,0.029652311,0.0233141,0.046223801,0.044471893,0.101448841,0,0,0.026577899,0,0.0136098,0.009316488,0.013676697,0.010359003,0.015532202,0.019122401,0.016540099,0.017763706,0.0146017,0.013506006
superpathway of 5-aminoimidazole ribonucleotide biosynthesis,0.008821879,0.009985993,0,0.021954296,0.02379101,0.02063559,0.034964804,0.041330773,0.016600994,0.023533814,0.031527109,0.039854102,0.031275999,0,0.042527631,0.050677106,0.083504222,0.018277599,0.102887973,0.017141599,0.023997193,0.018471897,0.014105705,0.018136103,0.0178944,0.027503001,0.017980106,0.016523302,0.021225508
D-galactose degradation I (Leloir pathway),0.012296699,0.011595903,0,0.007820088,0.010900204,0.010036795,0.0097313,0,0.017707795,0,0,0,0,0,0,0,0,0,0,0.0109978,0.020120297,0.010120598,0.007118872,0.007304191,0.0153506,0.016972199,0.011034304,0.0107139,0.010783204
stachyose degradation,0.020775799,0.014860103,0,0,0.009738633,0.011340795,0,0,0.019438295,0,0,0.020664198,0,0.021648597,0.057289213,0,0,0,0,0.013303,0.022877093,0.009331598,0.007599902,0.006390901,0.0178579,0.018257901,0.014998406,0.014758901,0.013600005
adenine and adenosine salvage III,0.010246699,0.009677422,0,0.013347697,0.02485441,0.008456477,0.021901002,0,0.020616494,0.01895651,0,0.066119,0,0.104129985,0.077882379,0.036262002,0,0.029691098,0,0.0219779,0.011380898,0.014909797,0.015254205,0.011971902,0.022053199,0.011227599,0.010921504,0.0149093,0.016664706
queuosine biosynthesis I (de novo),0.015612198,0.013135003,0,0.008652598,0.014142605,0.004701448,0.012680001,0,0.007617897,0.020945812,0,0.0257835,0.022264,0.026817298,0,0.0191066,0,0.015887199,0,0,0.007589138,0.003484639,0.005210582,0,0,0,0,0,0
L-methionine biosynthesis II,0.004158279,0,0,0,0,0.003792288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004168731,0,0,0.003706781,0,0.007843653
pyrimidine deoxyribonucleotide phosphorylation,0.007021889,0,0,0.004895569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000807015,0.001755481,0,0,0,0,0,0
pyrimidine deoxyribonucleosides salvage,0.015097398,0.014675204,0,0.014338197,0,0.007512227,0,0,0.016338995,0,0.021920107,0,0.0152377,0,0,0,0,0.0119282,0,0.00653566,0,0.005023269,0.011936803,0.009105152,0.0130032,0.00656684,0.010338103,0.00989213,0
superpathway of pyrimidine nucleobases salvage,0.007789029,0,0,0.006885589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04830379,0,0,0.00117945,0.002570531,0,0,0,0,0,0
adenosine deoxyribonucleotides de novo biosynthesis II,0.007686699,0,0,0.005969229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000908139,0.002009421,0,0,0,0,0,0
guanosine ribonucleotides de novo biosynthesis,0.009989989,0.034847111,0,0.017797597,0.016399605,0.027911087,0.0166291,0,0.029778089,0.079281844,0.059934318,0,0.029595301,0.024793398,0.047005426,0.057049606,0,0.046687797,0.046926487,0.0105987,0.020946395,0.013447997,0.017407905,0.019294202,0.0224266,0.011563799,0.013140305,0.0162098,0.02351041
guanosine deoxyribonucleotides de novo biosynthesis II,0.007686699,0,0,0.005969229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000908139,0.002009421,0,0,0,0,0,0
superpathway of guanosine nucleotides de novo biosynthesis I,0.009770369,0,0,0.009195348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00170914,0.003623271,0,0,0,0,0,0
superpathway of adenosine nucleotides de novo biosynthesis I,0.019031197,0,0,0.015537997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003317499,0.006551792,0,0,0,0,0,0
sucrose biosynthesis II,0.034486298,0,0,0.025813496,0.034052815,0.023604188,0.033696901,0.099217236,0.050865185,0.056993835,0,0,0.0403281,0.065793596,0.046751227,0.051309302,0,0.025839198,0,0.0234359,0.013466797,0.024493895,0.022843407,0.032464404,0.045138698,0.036397699,0.027447311,0.027187901,0.033264212
UMP biosynthesis II,0.019912397,0,0,0.019355996,0.017341007,0.014293494,0.016841803,0,0.020167993,0,0,0.022642301,0.0188157,0,0,0.020604301,0,0.048776697,0.076193377,0.026829099,0.028531592,0.023639496,0.018823806,0.023737103,0.017216099,0.021730199,0.020392608,0.0200582,0.018893007
UMP biosynthesis III,0.019912397,0,0,0.019355996,0.017341007,0.014293494,0.016841803,0,0.020167993,0,0,0.022642301,0.0188157,0,0,0.020604301,0,0.048776697,0.076193377,0.026829099,0.028531592,0.023639496,0.018823806,0.023737103,0.017216099,0.021730199,0.020392608,0.0200582,0.018893007
coenzyme A biosynthesis II (eukaryotic),0.010707598,0.008090812,0,0.017567696,0.014681106,0.013222395,0,0,0.024512893,0.012493307,0.022600507,0,0,0,0,0,0,0.017456198,0,0.0133785,0.006861139,0.014561797,0.015428405,0.019235803,0.017743802,0.010037701,0.019609608,0.018177599,0.016092205
L-arginine degradation XIII (reductive Stickland reaction),0.0056872,0.013708304,0.093296111,0.009579178,0,0.005700388,0.007219431,0,0.008886707,0,0,0,0,0,0,0,0,0,0,0.0055328,0.013016197,0.00138186,0.002597011,0.004569841,0,0.00827002,0.004719562,0.00795531,0.009390423
L-cysteine biosynthesis VI (from L-methionine),0.004382059,0,0,0,0.006685462,0.009878796,0,0,0,0,0.021950107,0.0187064,0,0,0,0,0,0.015087799,0,0.00621324,0,0,0.007246772,0.00423301,0.00547016,0,0.004657482,0.00381735,0.011996305
purine ribonucleosides degradation,0.010762699,0.009599113,0,0.010859698,0.023575708,0.008276086,0.0205817,0,0,0.018696811,0,0.062052101,0,0.067236193,0.081829876,0.033165105,0,0.023172697,0,0.019590301,0,0.010973598,0.011522504,0.009765841,0.0181823,0.0102915,0.008889444,0.0114913,0.011430804
tRNA charging,0.016059097,0.021102205,0,0.019914096,0.021751309,0.021433491,0.0161987,0,0.024058294,0,0.03725791,0,0.0273575,0,0,0.028398803,0,0.031852096,0,0.021861499,0.023524594,0.019379297,0.017658306,0.021567702,0.019029001,0.0263096,0.019532507,0.0187479,0.019821206
UDP-N-acetyl-D-glucosamine biosynthesis I,0.017213697,0.021944106,0,0.022734096,0.019412607,0.021420792,0.018154001,0,0.021427592,0,0.033634812,0.0212813,0.017291199,0,0,0.020200802,0,0.019324098,0,0.0243221,0.028278593,0.019672798,0.018787704,0.020555902,0.0220355,0.029032199,0.024199909,0.023854099,0.024506509
L-valine biosynthesis,0.062236391,0.027955206,0.071742609,0.018271996,0.041109413,0.014891093,0.039145004,0.15384391,0.039727189,0.10375306,0.018280106,0.0396249,0.038329102,0.144399986,0.121145807,0.081439503,0,0.061383098,0.160022959,0.0149751,0.029678592,0.019325297,0.017847307,0.016566502,0.01517,0.016734099,0.013881105,0.016344901,0.028947011
L-methionine biosynthesis III,0,0.008449642,0,0.003261509,0,0,0,0,0,0.017471209,0,0,0,0,0,0,0,0,0,0,0,0.011633898,0.003586731,0.010705502,0.00589044,0.00548145,0.007434583,0.00705167,0.007029023
phosphopantothenate biosynthesis I,0,0.016239004,0,0.003417999,0,0.009713505,0,0,0.021733692,0.021226712,0.012456804,0,0.021600801,0,0,0,0,0.018517599,0,0.009769849,0.008852048,0.00180404,0.006620562,0,0,0.0075048,0.001801391,0,0
superpathway of coenzyme A biosynthesis I (bacteria),0,0.013232703,0,0,0,0.007213137,0,0,0.016665295,0,0,0,0,0,0,0,0,0.0187185,0,0,0,0.003080289,0.008371903,0,0,0.00691847,0,0,0
peptidoglycan biosynthesis I (meso-diaminopimelate containing),0,0.012259403,0,0.013037697,0.018486507,0.016699692,0.0116071,0,0.018056296,0.020141711,0,0,0,0,0,0,0,0,0,0.0156091,0.011184297,0.018714797,0.016287806,0.023441903,0.0228197,0.0239025,0.018900506,0.019027,0.017862607
CDP-diacylglycerol biosynthesis I,0,0.021384204,0,0,0,0,0.013442901,0.057077765,0,0,0,0.025908999,0.028256301,0,0,0,0,0,0,0,0.006406369,0.003147239,0.004758892,0,0,0,0.002368651,0.00134938,0
cis-vaccenate biosynthesis,0,0.012370802,0,0.003942159,0,0.004826067,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00377949,0,0.0011929,0.002605181,0,0,0,0,0,0
CDP-diacylglycerol biosynthesis III,0,0.021467006,0,0,0.006749292,0.007316587,0.0104018,0.061500859,0,0,0,0,0.029699501,0,0,0,0,0.0158014,0,0.00552295,0.006907328,0.003586169,0.005187332,0,0,0,0.005454132,0.00173597,0
chorismate biosynthesis from 3-dehydroquinate,0,0.009602092,0,0.010748698,0.008601503,0.014719194,0,0,0.012774897,0.030244317,0,0,0.021615699,0,0,0.018792901,0,0.013708099,0,0.00750002,0.009918538,0.010614297,0.010434803,0.008116321,0.0146616,0.010320799,0.008717643,0.00807075,0.010915704
UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing),0,0.014914303,0,0.013050698,0.019706108,0.017309992,0.013232101,0,0.019194692,0,0,0,0,0,0,0,0,0,0,0.0151375,0.012334596,0.018694397,0.016234405,0.024710903,0.022853699,0.0267688,0.018601606,0.018837599,0.017097406
UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing),0,0.012761003,0,0.011963097,0.017338606,0.017484993,0.011934201,0,0.016974995,0.017762208,0,0,0,0,0,0,0,0,0,0.0149122,0.014098897,0.018649297,0.016149206,0.023962002,0.022120401,0.024675699,0.018493006,0.018671,0.017119106
preQ0 biosynthesis,0,0.010195103,0,0.005602999,0.007835333,0.004190058,0.00495669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00101434,0.004123981,0.00243274,0,0,0,0.00128988,0
seleno-amino acid biosynthesis (plants),0,0.007063092,0,0.003688579,0,0.007313387,0,0,0,0.026614815,0,0,0,0,0,0,0,0,0,0.00686238,0.012203797,0.011674098,0.006556602,0.010664101,0.00546341,0.00897952,0.007870653,0.00885836,0.006646012
pyruvate fermentation to isobutanol (engineered),0,0.009778633,0.075767308,0.010353098,0,0,0.017025901,0,0,0,0,0,0,0,0,0,0,0,0,0.00948986,0,0.013076097,0.008101982,0.013150102,0.0134447,0.0135994,0.013289005,0.0127551,0
dTDP-N-acetylthomosamine biosynthesis,0,0.019301204,0,0,0.013660305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00245472,0,0,0,0,0
gondoate biosynthesis (anaerobic),0,0.011631303,0,0.003740869,0,0.004388868,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00378633,0,0.0011274,0.004299521,0,0,0,0,0,0
L-methionine biosynthesis IV,0,0.010383503,0,0.004737779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001544941,0,0
CDP-diacylglycerol biosynthesis II,0,0.021384204,0,0,0,0,0.013442901,0.057077765,0,0,0,0.025908999,0.028256301,0,0,0,0,0,0,0,0.006406369,0.003147239,0.004758892,0,0,0,0.002368651,0.00134938,0
fatty acid biosynthesis initiation (mitochondria),0,0.016532604,0,0,0,0,0,0,0,0,0,0.015465,0,0,0,0,0,0,0,0,0,0.00137963,0.001682311,0,0,0,0,0,0
NAD de novo biosynthesis I (from aspartate),0,0.016001705,0.07362251,0.005529319,0,0.006351917,0.009575231,0,0.009394688,0,0,0.019862499,0,0,0,0,0,0,0,0.00885804,0.011753497,0.006373969,0.007535893,0,0,0,0,0.00148869,0
folate transformations III (E. coli),0,0,0,0.005397489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002617271,0,0
chorismate biosynthesis I,0,0,0,0.011453998,0.009758114,0.012696194,0,0,0.015017396,0,0,0,0.020282,0,0,0.014251901,0,0,0,0.00777357,0.010505898,0.012111798,0.010309103,0.009364791,0.016518801,0.0120741,0.009603064,0.009398269,0.012334405
gluconeogenesis I,0,0,0,0.017427798,0,0.010645196,0.021515401,0,0,0.037368122,0,0,0,0,0,0,0,0,0,0.0107139,0.019257095,0.007992358,0,0,0,0,0.007829273,0.008261519,0
GABA shunt,0,0,0,0.003064019,0,0,0,0,0,0,0.012054504,0,0,0,0,0,0,0,0,0.00451807,0,0.000746714,0.00150225,0,0,0,0,0.00182058,0
O-antigen building blocks biosynthesis (E. coli),0,0,0,0.007111179,0.014565006,0.016127093,0,0,0,0,0.029962009,0,0.0150355,0,0,0,0,0.019530399,0,0.0151947,0.012569398,0.014932297,0.013160205,0.015830202,0.0112401,0.0101363,0.014051706,0.0134869,0
L-lysine biosynthesis II,0,0,0,0.011083198,0.007137623,0.014885293,0.011055201,0,0,0,0,0.0158123,0,0,0,0,0,0,0,0.0116532,0.014650997,0.014241097,0.010357204,0.013948602,0.0209985,0.0124414,0.013482206,0.015256,0.022319309
sucrose degradation IV (sucrose phosphorylase),0,0,0,0.005128729,0,0.008798386,0.004884391,0,0,0,0,0,0,0,0,0,0,0,0,0.00839343,0,0.004668849,0.003463711,0.005376701,0,0,0.004012212,0.00527387,0.006465563
superpathway of guanosine nucleotides de novo biosynthesis II,0,0,0,0.007872978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00136047,0.002938021,0,0,0,0,0,0
6-hydroxymethyl-dihydropterin diphosphate biosynthesis I,0,0,0,0.004249949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00460193,0,0,0.002261671,0,0,0,0,0.00198415,0
peptidoglycan biosynthesis III (mycobacteria),0,0,0,0.011454398,0,0.015120793,0.011023201,0,0.018190995,0,0,0,0,0,0,0,0,0,0,0.0152794,0.010384797,0.011035899,0.014185804,0.009161731,0.00772502,0,0.009208643,0.0134585,0
thiamine diphosphate salvage II,0,0,0,0.004989399,0,0,0,0,0.012106696,0,0,0,0,0,0,0,0,0,0,0.00547839,0,0,0,0,0,0,0.003156851,0.00281336,0
inosine-5'-phosphate biosynthesis III,0,0,0,0.006956499,0.007730013,0.008146566,0,0,0,0,0.017341806,0,0,0,0,0,0,0,0,0.00808347,0.018284695,0.012602097,0,0.011883901,0.00755276,0.00897174,0.009460123,0.0101523,0.006899933
"superpathway of L-lysine, L-threonine and L-methionine biosynthesis II",0,0,0,0.009559958,0.014203506,0.012000594,0.009728461,0,0,0,0,0,0,0,0,0,0,0.024156498,0,0.00908322,0.011013797,0.004856369,0.007997843,0.006338841,0.009049361,0,0,0.00646016,0
thiamine diphosphate salvage IV (yeast),0,0,0,0.003213849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00285329,0,0,0,0,0,0,0.003410261,0.00433587,0
thiamine phosphate formation from pyrithiamine and oxythiamine (yeast),0,0,0,0.006364389,0,0,0,0,0.011283397,0,0,0,0,0,0,0,0,0,0,0.00540559,0.010811297,0,0,0,0,0,0.003844981,0.00391481,0
UDP-N-acetylmuramoyl-pentapeptide biosynthesis III (meso-diaminopimelate containing),0,0,0,0.005872579,0,0.007601747,0.00940881,0,0,0.01774301,0,0,0,0,0,0,0,0,0,0.012028,0.009265157,0,0.008648313,0,0,0,0.004027831,0,0
Entner-Doudoroff pathway I,0,0,0,0.007589789,0,0.012380594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004078759,0.005543722,0.007367591,0,0.00852221,0.006645532,0.00821176,0
superpathway of purine nucleotides de novo biosynthesis I,0,0,0,0.011475298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00257023,0.005079992,0,0,0,0,0,0
superpathway of pyrimidine ribonucleotides de novo biosynthesis,0,0,0,0.006664219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002454269,0.004154811,0,0,0,0,0,0
superpathway of L-threonine biosynthesis,0,0,0,0.006341909,0.013564705,0.012906294,0,0,0,0.022045413,0.021891007,0,0,0,0,0,0,0.030527299,0,0.013689401,0.011617897,0,0.007993042,0,0.010463701,0.008390009,0,0.00452904,0
mixed acid fermentation,0,0,0,0,0.013313705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
superpathway of L-isoleucine biosynthesis I,0,0,0,0,0.016735705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00928879,0.012513096,0,0.008501083,0,0.00985142,0,0,0.00526429,0
