Name,Kingdom,Phylum,Class,Order,Family,Genus,Species,Strain,1136_FV-W4_CP04543,1137__FV-W4_CP04543,1138__FV-W4_CP04543,1139__FV-W4_CP04543,1140__FV-W4_CP04543,1141__FV-W4_CP04543,1142__FV-W4_CP04543,1143__FV-W4_CP04543,1144__FV-W4_CP04543,1145__FV-W4_CP04543,1146__FT-W4_CP04543,1147__FT-W4_CP04543,1148_FT-W4_CP04543,1149_FT-W4_CP04543,1150_FT-W4_CP04543,1151_FT-W4_CP04543,1152_FT-W4_CP04543,1153_FT-W4_CP04543,1154_FT-W4_CP04543,1155_FT-W4_CP04543
Alistipes senegalensis JC50,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes senegalensis,Alistipes senegalensis JC50,0,0,0,5E-05,7E-05,0,0,0,0.00024,0,0,0,6E-05,0.00011,7E-05,0,0,8E-05,5E-05,0
Alistipes shahii WAL 8301,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes shahii,Alistipes shahii WAL 8301,0,0,0,0,0,0,0,0,0.00011,0,0,0,0,0,0,0,0,4E-05,0,0
Alistipes dispar,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes dispar,Alistipes dispar,0,0,0,0,8E-05,0,0,0,0.00029,0,0,0,8E-05,6E-05,8E-05,0,0,6E-05,6E-05,0
Alistipes communis,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes communis,Alistipes communis,0,0,0,0,6E-05,0,0,0,0.00032,0,0,0,7E-05,0,0,0,0,4E-05,5E-05,0
Alistipes sp. HGB5,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes_u_s,Alistipes sp. HGB5,0.00621,0.00144,0.00043,0.00223,0.00736,0.001,0.00099,0.00098,0.02327,0.00101,0.00547,0.00258,0.00659,0.00616,0.00808,0.00153,0.00263,0.00338,0.00428,0.00569
Alterileibacterium massiliense,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales Family XIII. Incertae Sedis,Alterileibacterium,Alterileibacterium massiliense,Alterileibacterium massiliense,0,0,2E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aminipila sp. JN-18,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales Family XIII. Incertae Sedis,Aminipila,Aminipila_u_s,Aminipila sp. JN-18,0,0,0,4E-05,0,0,0,0,0,0,0,0,0,8E-05,0,0,0,3E-05,4E-05,5E-05
Anaeromassilibacillus sp. An172,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Anaeromassilibacillus,Anaeromassilibacillus_u_s,Anaeromassilibacillus sp. An172,9E-05,7E-05,0,7E-05,0,0,0,0,0,0,0,0,0,6E-05,0,0,0,0,4E-05,4E-05
Anaerotruncus sp. 1XD22-93,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Anaerotruncus,Anaerotruncus_u_s,Anaerotruncus sp. 1XD22-93,0.02663,0.01245,0.00817,0.00365,0.00432,0.0045,0.00292,0.0032,0.00626,0.00819,0,0.00162,0,0,0,0.00331,0.00513,0.0011,0,0
Anaerotruncus sp. G3(2012),Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Anaerotruncus,Anaerotruncus_u_s,Anaerotruncus sp. G3(2012),0,0,0,0,0,0,0,0,0,0,0.00902,0,0.00163,0.00654,0.00111,0,0,0,0.00297,0.00161
Adlercreutzia equolifaciens subsp. celatus,Bacteria,Actinobacteria,Coriobacteriia,Eggerthellales,Eggerthellaceae,Adlercreutzia,Adlercreutzia equolifaciens,Adlercreutzia equolifaciens subsp. celatus,0.0003,0.00038,0.00045,0.00031,0.0004,0.00091,0.00093,0.00141,0.0005,0.00076,0.00092,0.00098,0.00055,0.00119,0.00068,0.00063,0.00058,0.00142,0.00049,0.00097
Bacteroides_u_t,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides_u_s,Bacteroides_u_t,0,0,0,0,2E-05,0,0,0,0.00018,0,0,0,0,0,0,0,0,0,0,0
Bacteroides acidifaciens JCM 10556,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides acidifaciens,Bacteroides acidifaciens JCM 10556,8E-05,6E-05,7E-05,6E-05,0.00021,5E-05,0,3E-05,0.00029,0,0.00011,0.00024,0.00024,0.00012,0.00018,0.00025,0.00027,9E-05,0.00015,0.00028
Bacteroides caecimuri,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides caecimuri,Bacteroides caecimuri,8E-05,0,6E-05,0,0,0,0,0,0,0,0,0.00015,0,0,0,0.00011,0.00023,0,0,0
Bacteroides caecimuris,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides caecimuris,Bacteroides caecimuris,0,0,0,0,0,6E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Phocaeicola dorei,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidales_u_f,Phocaeicola,Phocaeicola dorei,Phocaeicola dorei,3E-05,0,0,3E-05,0,0,3E-05,0,0,2E-05,0,2E-05,4E-05,0,0,5E-05,0,0,2E-05,0
Bacteroides fragilis,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides fragilis,Bacteroides fragilis,0.00013,5E-05,0.00023,0.00014,6E-05,9E-05,8E-05,3E-05,8E-05,0.00015,0.00017,0.00013,7E-05,0.00017,0.00031,0.00018,0.00017,0.0001,8E-05,0.00019
Bacteroides ovatus ATCC 8483,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides ovatus,Bacteroides ovatus ATCC 8483,0,0.00017,0.00018,0.00015,0.00049,9E-05,0.0001,8E-05,0.00024,0.0001,0.00017,0,0,0.00014,0,0.00032,0.00021,0.00014,0.00021,0.00019
Bacteroides ovatus SD CMC 3f,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides ovatus,Bacteroides ovatus SD CMC 3f,0.00032,0,0,0,0,0,0,0,0,0,0,0.00018,0.00031,0,0.0003,0,0,0,0,0
Bacteroides sp. 3_1_23,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides_u_s,Bacteroides sp. 3_1_23,0,0.00011,0.00015,0.00026,0,0,0,0,0,0,0.0003,0.00028,0,0.00011,0,0.00027,0,0.00012,0.00017,0.00027
Bacteroides sp. AF32-8BH,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides_u_s,Bacteroides sp. AF32-8BH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00021,0,0,0
Bacteroides sp. AM30-16,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides_u_s,Bacteroides sp. AM30-16,0,0,0,0,0,0,0,0,0,0,0,0,0.00028,0,0,0,0,0,0,0
Bacteroides sp. NM69_E16B,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides_u_s,Bacteroides sp. NM69_E16B,9E-05,0,0,0,0.0001,6E-05,6E-05,0,0.00017,7E-05,0,0,0,0,0,0,0,0,0,0
Bacteroides sp. OF03-11BH,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides_u_s,Bacteroides sp. OF03-11BH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00037,0,0,0,0,0
Bacteroides uniformis dnLKV2,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides uniformis,Bacteroides uniformis dnLKV2,0.0182,0.00638,0.0042,0.00905,0.01552,0.01002,0.01275,0.00194,0.0204,0.0137,0.01614,0.01099,0.02367,0.01028,0.03513,0.0421,0.01376,0.00577,0.0187,0.02548
Bacteroides vulgatus dnLKV7,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidales_u_f,Phocaeicola,Phocaeicola vulgatus,Bacteroides vulgatus dnLKV7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6E-05
Phocaeicola vulgatus,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidales_u_f,Phocaeicola,Phocaeicola vulgatus,Phocaeicola vulgatus,0,0,2E-05,3E-05,3E-05,0,0,0,0.00027,4E-05,0,7E-05,6E-05,3E-05,8E-05,5E-05,0,8E-05,8E-05,0
Barnesiella sp. WM24,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Barnesiellaceae,Barnesiella,Barnesiella_u_s,Barnesiella sp. WM24,0.00016,0.0002,0.00022,0.00016,0.0002,0.00011,0.00013,8E-05,0.00029,0.00014,0.00026,0.00017,0.00024,0.00021,0.00025,0.00015,0.00019,0.00017,0.00017,0.00025
Bifidobacterium adolescentis,Bacteria,Actinobacteria,Actinomycetia,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium adolescentis,Bifidobacterium adolescentis,0,0,0,2E-05,1E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bifidobacterium castoris,Bacteria,Actinobacteria,Actinomycetia,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium castoris,Bifidobacterium castoris,0,0,0,0,7E-05,5E-05,0,5E-05,0,5E-05,0,0,0,0,0,0,0,0,0,0
Bifidobacterium cuniculi,Bacteria,Actinobacteria,Actinomycetia,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium cuniculi,Bifidobacterium cuniculi,0,0,0,0,0.00012,0.00012,8E-05,0.00011,0,0.00013,0,0,0,0,0,0,0,0,0,0
Bifidobacterium pseudolongum AGR2145,Bacteria,Actinobacteria,Actinomycetia,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium pseudolongum,Bifidobacterium pseudolongum AGR2145,0,0,0,6E-05,0,0,0,0,0,0,0,0,6E-05,7E-05,0,0,0,0.00068,0.0001,0
Bifidobacterium pseudolongum PV8-2,Bacteria,Actinobacteria,Actinomycetia,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium pseudolongum,Bifidobacterium pseudolongum PV8-2,0,0,3E-05,0,0.01316,0.01155,0.00774,0.01051,0.00927,0.01249,0.00019,0,0,0,4E-05,0.00129,0,0,0,4E-05
Bifidobacterium sp. GSD1FS,Bacteria,Actinobacteria,Actinomycetia,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium_u_s,Bifidobacterium sp. GSD1FS,0,0,0,0,0.00011,0.00013,8E-05,0.0001,0,0.00012,0,0,0,0,0,0,0,0,0,0
Bilophila_u_t,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Bilophila,Bilophila_u_s,Bilophila_u_t,0,0,0,0,0,0,0,0,0.00015,0,0,0,0,0,0,0,0,0,0,0
Bittarella massiliensis,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Bittarella,Bittarella massiliensis,Bittarella massiliensis,6E-05,5E-05,0,5E-05,4E-05,0,0,0,0,0,8E-05,0,8E-05,0,5E-05,4E-05,0,4E-05,0,5E-05
Blautia producta,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,Blautia producta,Blautia producta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7E-05,0.00011
Blautia sp. YL58,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,Blautia_u_s,Blautia sp. YL58,0.00012,9E-05,0.00024,0.00018,0,0,0.00026,5E-05,0,9E-05,5E-05,0,0,0.00053,9E-05,0,0,0.00017,0.00011,7E-05
Burkholderiales_u_t,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiales_u_f,Burkholderiales_u_g,Burkholderiales_u_s,Burkholderiales_u_t,0.01726,0,0,0,0.00541,0.00184,0,0,0.00402,0.01025,0.00057,0.00014,0.00012,2E-05,0,0.00037,0.00014,0,0.00646,0.00047
Candidatus Arthromitus_u_t,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Candidatus Arthromitus,Candidatus Arthromitus_u_s,Candidatus Arthromitus_u_t,0,0,0.00016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Candidatus Arthromitus sp. SFB-mouse-Japan,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Candidatus Arthromitus,Candidatus Arthromitus_u_s,Candidatus Arthromitus sp. SFB-mouse-Japan,0,0,0,0,0.00079,0,0,0.00043,0.00079,0,0,0,0.00049,0,0.0001,0,0,0,0.00048,0
Candidatus Arthromitus sp. SFB-mouse-NL,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Candidatus Arthromitus,Candidatus Arthromitus_u_s,Candidatus Arthromitus sp. SFB-mouse-NL,0,0.0001,0,0,0,0,0,0,0,0,0.00014,0,0,0,0,0,0,2E-05,0,6E-05
Clostridiales_u_t,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales_u_f,Clostridiales_u_g,Clostridiales_u_s,Clostridiales_u_t,0,0,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lachnospiraceae_u_t,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae_u_g,Lachnospiraceae_u_s,Lachnospiraceae_u_t,0,0,0,0,0,0,0,0,0,0,9E-05,0,0,0,0,0,0,0,0,0
Clostridiales bacterium CCNA10,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales_u_f,Clostridiales_u_g,Clostridiales_u_s,Clostridiales bacterium CCNA10,0.00015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5E-05,0
Clostridium_u_t,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Clostridium_u_s,Clostridium_u_t,0,0,0,0,0,0,0,0,0,0,0,0,4E-05,0.00011,2E-05,0,0,0,0,0
Clostridium celatum DSM 1785,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Clostridium celatum,Clostridium celatum DSM 1785,0,0,0,0,0,0,0,0,0,0,0,2E-05,0,0,0,0,3E-05,0,0,0
[Clostridium] cocleatum,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Erysipelatoclostridium,[Clostridium] cocleatum,[Clostridium] cocleatum,0,0.00016,0.00058,0.00143,0.00018,0.0003,0.0003,0.00019,8E-05,0.00034,0.00094,0.00017,0.00065,0.00041,0.00065,0.00071,0.00023,0.0013,0.00015,0.00056
Clostridium cuniculi,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Clostridium cuniculi,Clostridium cuniculi,0,0,0,0,0,0,0,0,0,0,0.00014,0.00026,0,0,0,3E-05,0.00027,2E-05,6E-05,8E-05
[Clostridium] methylpentosum DSM 5476,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcaceae_u_g,Ruminococcaceae_u_s,[Clostridium] methylpentosum DSM 5476,0.0001,0,7E-05,0,0,0,0,0,0,0,0,0,0,6E-05,0,0,0,0,5E-05,0
Flavonifractor plautii 1_3_50AFAA,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Flavonifractor,Flavonifractor plautii,Flavonifractor plautii 1_3_50AFAA,4E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clostridium sp. MD294,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Clostridium_u_s,Clostridium sp. MD294,0.00032,0.00012,0.00032,7E-05,0.00012,3E-05,0.0001,6E-05,0.00021,3E-05,0.00019,5E-05,5E-05,0.00033,0,3E-05,0.0001,4E-05,0.00025,0.00015
Schaedlerella arabinosiphila,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Schaedlerella,Schaedlerella arabinosiphila,Schaedlerella arabinosiphila,0.00846,0.00525,0.00989,0.00608,0.00158,0.00121,0.01373,0.00461,0.00225,0.0023,0.0022,0.00107,0.00317,0.03716,0.00577,0.00065,0.00176,0.00538,0.00308,0.00378
Clostridium saudiense,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Clostridium saudiense,Clostridium saudiense,0,0,0,0,0,0,0,0,0,0,0,5E-05,0,0,0,0,6E-05,0,0,0
Clostridium porci,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Clostridium porci,Clostridium porci,0.00085,0.00033,0.00026,0.00024,0.00021,4E-05,7E-05,9E-05,0.00029,5E-05,0.00037,8E-05,0.0002,0.00039,0.00018,0.00013,0.00015,0.00013,0.00033,0.00036
Coprococcus sp. AM27-12LB,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Coprococcus,Coprococcus_u_s,Coprococcus sp. AM27-12LB,5E-05,0,0.00029,0,0,0,0,0,7E-05,0,0,0,0,3E-05,0,0,1E-05,4E-05,1E-05,3E-05
Dorea sp. 5-2,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Dorea,Dorea_u_s,Dorea sp. 5-2,0.00574,0.00262,0.00586,0.00303,0.00235,0.00144,0.0044,0.00277,0.00245,0.00166,0.00245,0.00098,0.00142,0.01166,0.00198,0.00097,0.00178,0.00557,0.00424,0.00268
Duncaniella muris,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Muribaculaceae,Duncaniella,Duncaniella muris,Duncaniella muris,0.00131,0.00095,0.00094,0.00076,0.00093,0.00051,0.00066,0.00032,0.00165,0.00075,0.00141,0.00112,0.00123,0.00118,0.00129,0.00077,0.00116,0.0008,0.00106,0.00128
Duncaniella sp. B8,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Muribaculaceae,Duncaniella,Duncaniella_u_s,Duncaniella sp. B8,0.00203,0.00213,0.00295,0.00229,0.0019,0.00135,0.00099,0.00087,0.00273,0.00105,0.00288,0.00232,0.00264,0.00251,0.00292,0.00236,0.00217,0.00223,0.00192,0.00294
Duncaniella freteri,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Muribaculaceae,Duncaniella,Duncaniella freteri,Duncaniella freteri,0.08501,0.06326,0.07115,0.07918,0.12837,0.06384,0.05517,0.02606,0.20264,0.07705,0.13222,0.06315,0.11787,0.1133,0.13792,0.08202,0.06296,0.09181,0.06231,0.12078
Dysosmobacter welbionis,Bacteria,Firmicutes,Clostridia,Clostridiales,Oscillospiraceae,Dysosmobacter,Dysosmobacter welbionis,Dysosmobacter welbionis,0.00017,4E-05,0,0,3E-05,0,0,0,0.00013,0,3E-05,0,0,0,0,3E-05,0,0,6E-05,0
Enterococcus_u_t,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus_u_s,Enterococcus_u_t,0,0,0,0.00017,0.00029,0,0.00055,1E-05,0,0,0.0003,0,0.00275,0.00333,0.00059,0,0,0.00194,0.00087,0.00247
Enterococcus faecalis,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus faecalis,Enterococcus faecalis,0.00071,5E-05,0.00026,0.00017,0.0001,4E-05,0.00014,9E-05,0.00033,2E-05,0.0002,9E-05,7E-05,0.00058,9E-05,5E-05,5E-05,0.00016,0.00023,0.00013
Enterococcus faecium NEF1,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus faecium,Enterococcus faecium NEF1,0,0,0,0.00011,0,0,0,0,7E-05,0,0,0,0,0.00015,0,6E-05,0,0,0,0
Enterococcus gallinarum,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus gallinarum,Enterococcus gallinarum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1E-05,0,0,0
Enterococcus gallinarum EG2,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus gallinarum,Enterococcus gallinarum EG2,0,0,0,0,5E-05,0,0,3E-05,0,0,0,0,0,0,0,0,0,0,0,0
Enterococcus saccharolyticus 30_1,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus saccharolyticus,Enterococcus saccharolyticus 30_1,0,0,0,0,0,0,0,1E-05,0,4E-05,0,0,0,0,0,0,0,0,0,0
Enterococcus sp. ARL09-542,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus_u_s,Enterococcus sp. ARL09-542,0,0,0,0,0,0,0,6E-05,0,0,0,0,0,0,0,0,0,0,0,0
Enterococcus sp. M190262,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus_u_s,Enterococcus sp. M190262,0,0,5E-05,0,0,0,0,0,0,0,4E-05,0,0,0,0,0,0,0,0,0
Enterorhabdus caecimuris B7,Bacteria,Actinobacteria,Coriobacteriia,Eggerthellales,Eggerthellaceae,Adlercreutzia,Adlercreutzia caecimuris,Enterorhabdus caecimuris B7,0.01504,0.01478,0.03173,0.01999,0.00726,0.0109,0.01658,0.01623,0.00812,0.01204,0.00937,0.0097,0.01895,0.0288,0.02097,0.01251,0.00861,0.02906,0.00715,0.01011
Enterorhabdus mucosicola DSM 19490,Bacteria,Actinobacteria,Coriobacteriia,Eggerthellales,Eggerthellaceae,Adlercreutzia,Adlercreutzia mucosicola,Enterorhabdus mucosicola DSM 19490,0.00064,0.00435,0.00707,0.00447,0.00388,0.00562,0.00659,0.00765,0.00081,0.00497,0.00504,0.00492,0.00523,0.00751,0.00549,0.00334,0.00471,0.00718,0.00375,0.00521
Enterorhabdus sp. NM05_H27,Bacteria,Actinobacteria,Coriobacteriia,Eggerthellales,Eggerthellaceae,Enterorhabdus,Enterorhabdus_u_s,Enterorhabdus sp. NM05_H27,0.02542,0.02611,0.03944,0.02588,0.02246,0.03489,0.03911,0.04987,0.02316,0.03105,0.03143,0.03346,0.02841,0.04368,0.03065,0.01735,0.03135,0.04447,0.0239,0.03351
Escherichia coli,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,Escherichia coli,0,0,0,0,0,0,1E-05,0,0,0,7E-05,0,0,0,0,0,0,0,0,0
Escherichia coli SWW33,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,Escherichia coli SWW33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00014,0,0,0,0.00037,0
Eubacterium plexicaudatum ASF492,Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Eubacterium,Eubacterium plexicaudatum,Eubacterium plexicaudatum ASF492,0.00373,0.00131,0.00274,0.00093,0.00097,0.00025,0.00114,0.00049,0.00132,0.00045,0.00145,0.00022,0.00034,0.00197,0.0003,0.00039,0.00044,0.00087,0.0021,0.00124
Eubacterium sp. 14-2,Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Eubacterium,Eubacterium_u_s,Eubacterium sp. 14-2,0.00528,0.00293,0.00352,0.00176,0.00122,0.00096,0.00147,0.00103,0.00181,0.0003,0.00114,0.00017,0.00016,0.0023,0.00021,0.00033,0.00027,0.00093,0.0026,0.00112
