Name,1182_M-BL_CP04543-B,1156_M-BL_CP04543-B,1178_M-BL_CP04543-B,1164_M-BL_CP04543-B,1160_M-BL_CP04543-B,1184_M-BL_CP04543-B,1180_M-BL_CP04543-B,1174_M-BL_CP04543-B,1168_M-BL_CP04543-B,1136_F-BL_CP04543-B,1150_F-BL_CP04543-B,1138_F-BL_CP04543-B,1140_F-BL_CP04543-B,1152_F-BL_CP04543-B,1148_F-BL_CP04543-B,1170_M-BL_CP04543-B,1142_F-BL_CP04543-B,1154_F-BL_CP04543-B,1146_F-BL_CP04543-B,1144_F-BL_CP04543-B
1.1.1.28:D-lactate dehydrogenase,0.00159029,0.00140878,0.00119615,0,0.000468176,0.00102105,0,0.000503309,0.000764231,0,0.00189066,0,0.00105298,0.000487726,0,0.000775742,0.00111122,0.000612325,0,0.00050649
1.1.1.290:4-phosphoerythronate dehydrogenase,0.00147577,0.00173399,0.00123773,0.00160665,0.0011541,0.00181058,0.00206405,0.00164438,0.00178314,0.0010782,0.000782789,0.000803437,0.00113158,0.00190429,0,0.00163322,0.00169066,0.0010581,0.0014564,0.00182822
1.1.1.3:Homoserine dehydrogenase,0.00100182,0.00090424,0.00156381,0.000803619,0.00138388,0,0.0020333,0.00169504,0.000862625,0.00104387,0.00208125,0.000541754,0.00151625,0.00204322,0.00191161,0,0.00144515,0.00146379,0.00150879,0.000508359
1.1.1.35:3-hydroxyacyl-CoA dehydrogenase,0.000308936,0,0,0,0,0,0,0,0.00043799,0,0,0,0.000273275,0,0,0,0.000638273,0,0,0
1.1.1.37:Malate dehydrogenase,0.00102089,0.000882904,0.00168744,0.00114155,0.000542876,0.000961764,0,0.000295055,0.000533411,0,0.00034098,0,0.00052489,0.000536975,0,0,0.00103567,0.000238054,0,0.000170264
1.1.1.40:Malate dehydrogenase (oxaloacetate-decarboxylating) (NADP(+)),0.00115312,0.000612289,0.00251223,0.000482694,0.000450836,0.0019896,0.00118656,0.000467003,0,0,0,0,0.00134437,0,0,0,0.000522175,0.000864912,0.000550724,0.000795118
"1.1.1.44:Phosphogluconate dehydrogenase (NADP(+)-dependent, decarboxylating)",0.00143466,0.00140248,0.00166065,0.000537171,0.000580441,0.00035957,0,0.00251134,0.00137224,0.000439734,0.00138658,0,0.00185499,0,0,0.00161273,0.00186638,0.00219727,0,0.00112932
1.1.1.47:Glucose 1-dehydrogenase (NAD(P)(+)),0.000145619,0,0.000430955,0,0.000251034,0.000579333,0,0.000148285,0.0008149,0,0,0.000188513,0.00103462,0.00138531,0,0,0,0.0011039,0,0
1.1.1.49:Glucose-6-phosphate dehydrogenase (NADP(+)),0.000912692,0.000434438,0.00194497,0.000357399,0.000672623,0,0,0.00175913,0.000624148,0.000360204,0.0013494,0,0.000991127,0,0,0.000532917,0.00224931,0.00168549,0.00102427,0.00133237
1.1.1.58:Tagaturonate reductase,0.00131819,0.000592572,0,0.000711181,0,0.00135851,0.000500118,0.00032235,0.00116396,0.000587282,0,0,0.000544274,0,0,0.000993488,0,0.000627089,0,0.0010502
1.1.1.6:Glycerol dehydrogenase,0.000642253,0,0.000700051,0,0,0.000962349,0,0.000242928,0,0,0,0,0.000212599,0,0,0,0,0.000247717,0,0.000422239
1.1.1.69:Gluconate 5-dehydrogenase,0.0015243,0.00130836,0.00102576,0.000929421,0.000288079,0.0015114,0.00165348,0.000762685,0.00058332,0.000362323,0.000129527,0.00204516,0.000866805,0,0.00282997,0.000952776,0.00103975,0.00219476,0.00166656,0.00278282
1.1.1.85:3-isopropylmalate dehydrogenase,0.00296518,0.0036101,0.00229653,0.00324832,0.00489134,0.00371966,0.005116161,0.00135755,0.00311858,0.004756969,0.00256944,0.00247007,0.00377422,0.004403929,0.00546886,0.003153729,0.00159691,0.00133526,0.00124783,0.003191859
1.1.1.86:Ketol-acid reductoisomerase (NADP(+)),0.003795271,0.00562284,0.00344553,0.005626239,0.00637639,0.006744589,0.009494171,0.00237827,0.00904135,0.008928539,0.005827259,0.00940389,0.00438853,0.006199729,0.012768201,0.007403649,0.004556061,0.00595147,0.011063498,0.006256259
1.1.1.88:Hydroxymethylglutaryl-CoA reductase,0.00157294,0.00032528,0.00336233,0.000417491,0,0,0,0.00203992,0.000310388,0.0011352,0,0,0.00104971,0,0,0,0.00178222,0.00179633,0.000465665,0.0010351
1.1.1.94:Glycerol-3-phosphate dehydrogenase (NAD(P)(+)),0.00386274,0.00325536,0.00222001,0.003552699,0.00343232,0.00378159,0.00200871,0.00467066,0.00193342,0.003452909,0.00296801,0.00258662,0.00346931,0.003181689,0.00314034,0.0028098,0.004201331,0.0030888,0.003576959,0.004543059
1.11.1.1:NADH peroxidase,0.000520901,0.000422951,0,0,0.000705076,0.000431256,0.000857236,0.000136771,6.01E-05,0.00119548,0.000197808,0.00126575,0.000221466,0.000684308,0.00122637,0.000549306,0,0.000231753,0.00163313,0.000866408
1.11.1.15:Peroxiredoxin,0.00157191,0.000911577,0.000657136,0,0,0.000301052,0,0,0.000341908,0,0.00117365,0,0.000538376,0,0.00280533,0.000608733,0.001425,0.00121419,0.000541452,0.00136528
1.11.1.6:Catalase,0.000242279,0.000254974,0.00061743,0.00056072,0,0.000442195,0.00190992,0.000399141,0,0,0.000183856,0,0,0,0,0,0,0,0.000732665,0
1.15.1.1:Superoxide dismutase,0.00150173,0.00119605,0.0014243,0.000800463,0.000368229,0.00316769,0.000454174,0.000522072,0.00104477,0.000861492,0,0.000603577,0.000571257,0,0,0.000648528,0,0,0,0.00192802
1.16.3.1:Ferroxidase,0.000269189,0,0.000374284,0.000268398,0,0,0,0,0,0,0.000334766,0,0,0,0,0,0,0,0,0
1.16.3.2:Bacterial non-heme ferritin,0.00155542,0.00152172,0,0.000873398,0.00313056,0.00205441,0.00131002,0.000429985,0.00126172,0.00171769,0.00113327,0.0020674,0.000297569,0.000916945,0.00137208,0.00248942,0.00124093,0.000614496,0.000566386,0.000645841
1.17.1.4:Xanthine dehydrogenase,0.000355138,0,0,0,0,0,0,0,0,0.000373851,0,0.000441331,0,0,0,0,0,0,0,0
1.17.1.8:4-hydroxy-tetrahydrodipicolinate reductase,0.00122494,0.000800931,0.00134727,0.000579913,0.000531375,0.000496435,0.000642455,0.000714549,0.000587288,0,0.000846582,0.000888529,0.000445408,0.000581462,0.0015713,0.00096918,0,0,0.00206887,0.000716629
1.17.4.1:Ribonucleoside-diphosphate reductase,0.00331273,0.00274124,0.00332015,0.00405824,0.00185072,0.00326054,0.00125044,0.002994959,0.00285947,0.00115435,0.000704429,0.00143015,0.00308978,0.003377359,0.00176538,0.00286696,0.0039319,0.00193297,0.00213798,0.003198169
1.17.4.2:Ribonucleoside-triphosphate reductase (thioredoxin),0.000507189,0.000661245,0,0,0.000324976,0,0.00125684,0,0.000316158,0.000451912,0.00117089,0.00103604,0,0.000429427,0.000739308,0.000460025,0.000233056,0.0014574,0.000846052,0.000614482
1.17.7.3:(E)-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase (flavodoxin),0.00122595,0.00118851,0.00165046,0.0017841,0.000827073,0.00221974,0.00192358,0.00101806,0.00185965,0.00100585,0.00101391,0.00236484,0.001094,0.000823809,0.00360195,0.0015113,0.00123858,0.00126397,0.00155244,0.002858929
1.17.7.4:4-hydroxy-3-methylbut-2-enyl diphosphate reductase,0.000878986,0.00106499,0.00140366,0.00198718,0.00202563,0.00217978,0.00163618,0.000856316,0.0016591,0.000889908,0.000697734,0.00151831,0.00135811,0.00188947,0,0.00180486,0.0019294,0.00142975,0.00149299,0.00136836
1.17.99.6:Epoxyqueuosine reductase,0.000806735,0.000476048,0.00208027,0.000789581,0,0,0,0.00249985,0,0.000670162,0.000562311,0.000994279,0.00145393,0.000457773,0,0,0.00168855,0.000885284,0.000956185,0.000434358
1.18.1.2:Ferredoxin--NADP(+) reductase,0.000722903,0.000239327,0.00145069,0,0.000271015,0,0,0.00101079,0.00033691,0,0.000344877,0,0.00058086,0,0,0,0,0.000803935,0,0
1.2.1.11:Aspartate-semialdehyde dehydrogenase,0.00124594,0.00132788,0.00225367,0.00143108,0.000967408,0.000890919,0.002774971,0.00152414,0.00123299,0.000587565,0.000886645,0.000579527,0.00169097,0.00120072,0,0.00144547,0.00119332,0.00260419,0.00128109,0.001352
1.2.1.12:Glyceraldehyde-3-phosphate dehydrogenase (phosphorylating),0.00263417,0.00290481,0.00346262,0.000804765,0.00284201,0.00189023,0.004078911,0.00253388,0.00421291,0.00442322,0.00705236,0.00450921,0.00326465,0.005771169,0.009272941,0.00236728,0.005324441,0.00410983,0.007406829,0.002998489
1.2.1.16:Succinate-semialdehyde dehydrogenase (NAD(P)(+)),0.000466992,0,0,0,0,0,0,0,0,0,0.000318029,0,0,0,0,0,0,0,0,0
1.2.1.24:Succinate-semialdehyde dehydrogenase (NAD(+)),0.000466992,0,0,0,0,0,0,0,0,0,0.000318029,0,0,0,0,0,0,0,0,0
1.2.1.38:N-acetyl-gamma-glutamyl-phosphate reductase,0.00181042,0.00200131,0.0013972,0.00223315,0.00147751,0.00279436,0.00185575,0.00174527,0.00175323,0.00267651,0.000883974,0.00138516,0.00106446,0.00178808,0.00267601,0.0017087,0.00158647,0.000868294,0.00171352,0.002425429
1.2.1.41:Glutamate-5-semialdehyde dehydrogenase,0.000875296,0.000453304,0.000518722,0.000429172,0.000921969,0.000542839,0.000996139,0.0014058,0.00164532,0.00424372,0.00141103,0.00158006,0.00199564,0.00130835,0.00136885,0.00049437,0,0.00175096,0.000860674,0.000934919
1.2.1.88:L-glutamate gamma-semialdehyde dehydrogenase,0.000216155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.2.3.3:Pyruvate oxidase,0.000114102,0.000172844,0,0,0.000324783,0,0,0,0.000178677,0,0.000389565,0,0,0,0,0.000354062,0.00034441,0.000402685,0,0.000277841
1.2.4.2:Oxoglutarate dehydrogenase (succinyl-transferring),0.000266191,0,0,0.000523975,0,0,0.000704056,0,0,0,0,0,0,0,0,0,0,0,0,0
1.3.1.2:Dihydropyrimidine dehydrogenase (NADP(+)),0.000243772,0.000114388,0,0,0.000620082,0,0,0.000194392,0.000626647,0,0.000348877,0,0.000144067,0,0,0,0.000795779,0.000354453,0,0
1.3.1.76:Precorrin-2 dehydrogenase,0.00031885,0.000189643,0.000504424,0,0,0,0.000915789,0,0,0,0.000727058,0.00147028,0,0.000731323,0,0.000653613,0,0.000390462,0,0
1.3.1.9:Enoyl-[acyl-carrier-protein] reductase (NADH),0.00179647,0.000839043,0.00145754,0.000997382,0.000560228,0.00106395,0.00114772,0.00133447,0.000367945,0.000323888,0,0,0.000732987,0.00184724,0,0.000844541,0.00131145,0.000527608,0.000690618,0.000858477
1.3.1.98:UDP-N-acetylmuramate dehydrogenase,0.0014989,0.00230119,0.000666727,0.000706118,0,0.00199665,0.000681449,0.00227811,0.00174648,0.00239313,0.00151938,0.000461727,0.000745236,0.00131945,0,0.00219248,0.00208264,0.00160797,0.00169631,0.00153789
1.3.8.1:Short-chain acyl-CoA dehydrogenase,0.000218014,0,0,0,0,0,0.000635921,0,0,0,0,0,0,0.000579965,0,0,0,0,0,0
1.3.98.1:Dihydroorotate oxidase (fumarate),0.000358936,0,0,0,0.000516548,0.000704499,0,0.000723652,0.000313854,0,0.00077446,0,0.00100867,0,0,0,0.00078841,0.000482607,0,0.000277097
1.3.99.1:Deleted entry,0.000396713,0.000170233,0,0,0,0,0,0,0.000311654,0,0,0,0.000189316,0,0,0.000288623,0,0.000521999,0,0.000502387
1.4.1.13:Glutamate synthase (NADPH),0.000426368,0.000612921,0,0,0.00115197,0,0.000422509,0.000173949,0.000419152,0,0.000586691,0.000603069,0,0,0.000827188,0.000386915,0,0,0.00114627,0.00128368
1.4.1.16:Diaminopimelate dehydrogenase,0.00246376,0.00283731,0.00151395,0.00347533,0.00250435,0.0034076,0.003881071,0.00263036,0.00260096,0.00241288,0.00126623,0.00217395,0.00173695,0.0013558,0.00152377,0.00160809,0.000630479,0.00146724,0.00224234,0.00287122
1.4.3.16:L-aspartate oxidase,0.005393341,0.008637509,0.0135993,0.010742298,0.00522952,0.011564799,0.005931141,0.004516149,0.00756587,0.004601209,0.00239114,0.00280625,0.007304061,0.006140149,0.00191895,0.007537119,0.006117071,0.00769137,0.00283618,0.005693549
1.4.4.2:Glycine dehydrogenase (aminomethyl-transferring),0.00352038,0.00452458,0.00276598,0.003846969,0.00227594,0.00389356,0.002961921,0.00336477,0.00332788,0.00333303,0.000684179,0.0011868,0.00345587,0.005577089,0.00382259,0.00320351,0.004268491,0.00268238,0.00349894,0.004712139
1.5.1.2:Pyrroline-5-carboxylate reductase,0.00221667,0.00155601,0.00236068,0.002565389,0.00105464,0.00287721,0.000845982,0.00344608,0.00149424,0.003882759,0.00126648,0.00171366,0.00231431,0.002974219,0.00273872,0.00150506,0.00293631,0.00189146,0.00119419,0.00174216
1.5.1.20:Methylenetetrahydrofolate reductase (NAD(P)H),0.00170124,0.00148644,0.00117176,0.00180801,0.000989785,0.00226919,0.00100311,0.00111311,0.00148673,0.0013284,0.000988112,0.00166676,0.00110832,0.00197001,0,0.00171438,0.000671953,0.00202639,0.00133947,0.000952795
1.5.1.3:Dihydrofolate reductase,0.00152279,0.00151044,0.000675303,0.00179397,0.00125628,0.00116485,0.000410744,0.000475089,0.00135877,0.000635225,0.000205387,0.00062036,0.00133366,0.000521011,0,0.00118537,0.00147687,0.000483576,0.000560512,0.00195878
1.5.1.36:Flavin reductase (NADH),0.000868262,0.00143291,0.00109364,0,0.00231311,0,0,0.000821329,0.00268715,0,0.0013156,0.000817018,0.000920398,0.000339202,0,0.00149772,0.0021396,0.00193621,0,0.00203618
1.5.1.5:Methylenetetrahydrofolate dehydrogenase (NADP(+)),0.00166474,0.00250547,0.00196894,0.00255291,0.00256636,0.002837389,0.00133562,0.0022245,0.00253747,0.00282227,0.00238869,0.00119825,0.00309185,0.00201465,0.000785839,0.000474803,0.00210072,0.00286161,0.00211536,0.003849689
"1.5.1.7:Saccharopine dehydrogenase (NAD(+), L-lysine-forming)",0.000106877,0.000127713,0,0.000858066,0,0.000272952,0,0,0.000291879,0.000278665,0,0,0.000209584,0,0,0,0.00038811,0,0,0.000489456
1.6.5.11:NADH dehydrogenase (quinone),0.015971202,0.0148085,0.021422401,0.025260195,0.014345199,0.022265797,0.014361102,0.011702199,0.018025802,0.008526099,0.00703673,0.00789438,0.015677402,0.021645596,0.00317502,0.019084498,0.014520502,0.0135839,0.009616689,0.016524497
1.6.99.3:NADH dehydrogenase,0.000684017,0.000393604,0.000824448,0,0,0.000590102,0,0,0.000806818,0,0.000540709,0,0.000710352,0,0,0,0.000471674,0.000611824,0,0.000509781
1.7.1.13:PreQ(1) synthase,0.00171356,0.0036266,0.00443438,0.00344706,0.00128842,0.00165045,0.00138572,0.000848241,0.00324314,0.00154661,0.000769197,0,0.00207693,0.002982699,0.00184351,0.00196583,0.002336,0.00298515,0.000750013,0.00214831
1.7.1.7:GMP reductase,0.00167184,0.00134707,0.000678665,0.000410944,0.000935454,0,0.000422398,0.00272296,0.00204441,0.000448424,0.00213467,0.000690024,0.00164377,0,0.00157669,0.00170962,0.00298017,0.00221051,0,0.00161696
1.7.99.1:Hydroxylamine reductase,0.00180839,0.00193969,0.00370564,0.0017523,0.00229513,0.0018229,0.00229564,0.00181742,0.00225843,0.00189587,0.00117463,0.00132597,0.00094645,0.0025176,0.00112333,0.00186045,0,0.00168738,0.00165196,0.000698733
1.7.99.4:Nitrate reductase,0.000365499,0,0,0,0,0,0,0.000237707,0.000343973,0,0.000859233,0,0.000652522,0,0,0,0,0.000411561,0,0
1.8.1.4:Dihydrolipoyl dehydrogenase,0.00273477,0.00176001,0.00209509,0.00290389,0.00212552,0.00173224,0.00159542,0.004570399,0.00188885,0.0019744,0.000373125,0.00048413,0.00335511,0.002285379,0,0.00226586,0.00327448,0.00165793,0.00183726,0.00155085
1.8.1.7:Glutathione-disulfide reductase,0.000624244,0.000376434,0,0,0,0,0,0.000261335,0.000299702,0,0.000655038,0,0.000763041,0,0,0.000483895,0.000655612,0.000867139,0,0
1.8.1.9:Thioredoxin-disulfide reductase,0.00328664,0.0027725,0.00145886,0.00210122,0.00182158,0.00290969,0.000650585,0.005332569,0.00159217,0.0027891,0.00379842,0.00094625,0.005025181,0.002674899,0,0.00138767,0.00404494,0.00429611,0.00193177,0.004261329
1.8.4.11:Peptide-methionine (S)-S-oxide reductase,0.000596933,0,0.00112948,0.000365375,0,0,0,0.00149811,0.000829294,0.000770809,0.00100132,0,0.000887358,0,0,0,0,0.000662379,0,0.00125986
1.8.4.12:Peptide-methionine (R)-S-oxide reductase,0.00127925,0.000375662,0.000694954,0,0.000324303,0.000718767,0,0.00137785,0.000335099,0,0,0,0.000781964,0,0.000767305,0.000325707,0.00101419,0,0,0.000978979
1.97.1.4:[Formate-C-acetyltransferase]-activating enzyme,0.00126231,0.000465337,0.000676889,0.000500021,0,0,0.000368349,0.00197556,0,0.00128305,0.000849059,0.00184139,0.00049258,0,0,0,0.00115884,0.000401027,0.00347105,0.00109249
2.1.1.107:Uroporphyrinogen-III C-methyltransferase,0.00031885,0.000364446,0,0,0,0.000483933,0.000609888,0,0,0,0.000727058,0.000464147,0,0.000731323,0,0,0,0,0,0
2.1.1.13:Methionine synthase,0.00138219,0.00097359,0.000946473,0.00121269,0.000903511,0.00164473,0.000963482,0.000837466,0.00104841,0.000955896,0,0.000537682,0.00109326,0.00108891,0,0.00164666,0.000789215,0.000858808,0,0.000845349
2.1.1.14:5-methyltetrahydropteroyltriglutamate--homocysteine S-methyltransferase,0.000581101,0.000182513,0,0,0.000415084,0.000443149,0,0,0.000727662,0,0.000559063,0,0.00018067,0,0,0,0,0,0,0
2.1.1.163:Demethylmenaquinone methyltransferase,0.00155942,0.000620579,0.000939897,0,0.000344806,0.00070323,0.000859546,0.00103217,0.000601811,0.000701499,0.000340994,0,0.00095046,0.00132001,0.00200303,0.00135278,0.000556282,0.00109675,0,0.000353139
2.1.1.173:23S rRNA (guanine(2445)-N(2))-methyltransferase,0.000198024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.1.1.177:23S rRNA (pseudouridine(1915)-N(3))-methyltransferase,0.00100617,0.00117821,0,0.0011803,0.00149606,0.000806818,0,0.00129644,0.00206899,0.00314824,0.00164633,0.000482757,0.00120483,0.000963489,0.00402774,0.0018828,0.000874606,0.000862301,0.00228927,0.00130591
2.1.1.182:16S rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))-dimethyltransferase,0.00321077,0.00190038,0.00285684,0.00226907,0.000424006,0.00244441,0.00222869,0.00258112,0.00261538,0.00122807,0.00216439,0.00184474,0.002128,0.002063399,0.00104278,0.00184775,0.00228693,0.00131088,0.000587555,0.003517469
2.1.1.192:23S rRNA (adenine(2503)-C(2))-methyltransferase,0.000873655,0.00112793,0,0.000978202,0.000789073,0.00160835,0.000708402,0.000719816,0.000936,0.000791911,0.000934741,0.000278365,0.000562295,0.00108602,0,0.000947539,0,0.00163373,0.000389682,0.000885153
2.1.1.193:16S rRNA (uracil(1498)-N(3))-methyltransferase,0.00136706,0.000394817,0.000627134,0.00164048,0.00075933,0.000699478,0,0.00188778,0.00122421,0.00165189,0.00112607,0.000786259,0.00118267,0.0018682,0,0,0.000996424,0.00107383,0.000345413,0.00146202
2.1.1.198:16S rRNA (cytidine(1402)-2'-O)-methyltransferase,0.00280771,0.00241649,0.00211128,0.00253637,0.00223266,0.000931059,0.000683705,0.00257441,0.00327719,0.00251135,0.00238693,0.0016406,0.00268295,0.00259186,0.00167041,0.00222674,0.0044076,0.00267844,0.000857949,0.003814259
2.1.1.199:16S rRNA (cytosine(1402)-N(4))-methyltransferase,0.00240945,0.00187761,0.00207735,0.00158115,0.00129699,0.00215191,0.003092671,0.00288461,0.00245806,0.00292833,0.0023029,0.00225584,0.00189381,0.00266187,0.00142296,0.003190449,0.00306851,0.00165865,0.00118697,0.00199491
2.1.1.207:tRNA (cytidine(34)-2'-O)-methyltransferase,0.000701928,0.000138159,0.000457652,0.000356632,0.00131953,0.000940599,0.000287451,0,0.000808109,0.000794196,0.00210697,0,0.000143722,0.00104113,0.000695711,0.000800503,0.00157688,0.000345387,0.00140282,0.000293803
2.1.1.217:tRNA (adenine(22)-N(1))-methyltransferase,0.000229185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.1.1.228:tRNA (guanine(37)-N(1))-methyltransferase,0.00231396,0.00276162,0.00561274,0.00308156,0.00190347,0.00204767,0.003977401,0.00368473,0.00129895,0.00261833,0.00187865,0.00303286,0.00213581,0.004327389,0,0.004704589,0.00211393,0.00370772,0.00182665,0.003794799
2.1.1.297:Peptide chain release factor N(5)-glutamine methyltransferase,0.000175003,0.000431726,0,0,0.000405811,0,0.000468664,0,0,0.000791687,0.000725076,0.00057953,0,0,0,0,0,0.000853728,0,0
2.1.1.33:tRNA (guanine(46)-N(7))-methyltransferase,0.00254867,0.00209043,0.00134521,0.00189738,0.00186938,0.003440179,0.0011853,0.00226474,0.00166367,0.00208866,0.00353951,0.00192889,0.00233823,0.00194861,0,0.000776172,0.00165847,0.00218162,0.0011952,0.002369179
2.1.1.37:DNA (cytosine-5-)-methyltransferase,0.00182383,0.00136365,0.00139061,0.000927959,0.00300874,0.00148933,0.003868891,0.00206615,0.000709669,0.00304097,0.00319417,0.00519308,0,0.000687035,0.00495288,0.000807843,0,0.000914782,0.00225874,0.000732484
2.1.1.45:Thymidylate synthase,0.00217074,0.00139141,0.00114212,0.000803668,0.00330899,0.00161171,0.00132653,0.00174914,0.00178928,0.00125618,0.00180407,0.000662131,0.00122568,0,0.00184511,0.00113301,0.0014877,0.000654802,0.00102007,0.00225734
2.1.1.63:Methylated-DNA--[protein]-cysteine S-methyltransferase,0.002801311,0.00150779,0.000671531,0.00128531,0.00108915,0.000810974,0.00212961,0.00235624,0.00195529,0.00199126,0.000222574,0.00385252,0.00246568,0.003593709,0.00151718,0.00124742,0.00172905,0.00207272,0.00153028,0.000717555
2.1.1.72:Site-specific DNA-methyltransferase (adenine-specific),0.000438243,0.00051184,0,0,0,0.000439461,0.000742052,0.00040854,0.000875612,0.000561423,0.000853529,0.00176377,0.000208321,0,0.0010006,0.000823064,0,0.000269338,0.000520824,0
2.1.1.74:(NAD(P)H-oxidizing),0.00092498,0.000584179,0,0.00033656,0,0,0,0.0009147,0.000724651,0.000429385,0.000368705,0,0.000778085,0,0,0.000930998,0.00142604,0.000438917,0.000514598,0.000847798
2.1.1.79:Cyclopropane-fatty-acyl-phospholipid synthase,0.00052156,0.000258659,0,0,0,0,0,0,0,0,0.000444172,0,0.000513779,0,0,0,0,0,0,0.000287669
2.1.2.1:Glycine hydroxymethyltransferase,0.00472984,0.00656828,0.0068775,0.006200629,0.00250765,0.006552879,0.010891702,0.00350229,0.004597791,0.00290322,0.00394956,0.0056683,0.00398912,0.004102189,0.00274222,0.00372621,0.004191831,0.00647143,0.00306902,0.005913879
2.1.2.10:Aminomethyltransferase,0.000856139,0.00095481,0,0.00100683,0.000843506,0.00166828,0,0.001008,0.000686454,0.0011915,0.000876665,0.000712933,0.000974786,0.00122897,0,0.00115974,0.000498808,0.000543689,0.000541533,0.000941983
