Name,Kingdom,Phylum,Class,Order,Family,Genus,Species,Strain,1156_MSV-W4_CP04543,1157_MSV-W4_CP04543,1158_MSV-W4_CP04543,1159_MSV-W4_CP04543,1160_MSV-W4_B_CP04543,1161_MSV-W4_CP04543,1162_MSV-W4_CP04543,1163_MSV-W4_CP04543,1164_MSV-W4_CP04543,1165_MSV-W4_CP04543,1176_M_ORX_E-W4_CP04543,1177_M_ORX_E-W4_CP04543,1178_M_ORX_E-W4_CP04543,1179_M_ORX_E-W4_CP04543,1180_M_ORX_E-W4_CP04543,1181_M_ORX_E-W4_CP04543,1182_M_ORX_E-W4_CP04543,1183_M_ORX_E-W4_CP04543,1184_M_ORX_E-W4_CP04543,1185_M_ORX_E-W4_CP04543,1166_M_O_V-W4_CP04543,1167_M_O_V-W4_CP04543,1168_M_O_V-W4_CP04543,1169_M_O_V-W4_CP04543,1170_M_O_V-W4_CP04543,1171_M_O_V-W4_CP04543,1172_M_O_V-W4_CP04543,1173_M_O_V-W4_CP04543,1174_M_O_V-W4_CP04543
Bifidobacterium criceti,Bacteria,Actinobacteria,Actinomycetia,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium criceti,Bifidobacterium criceti,0,0,0,0,0,0,0,0,0,0,0,0.00064,0,0,0.00033,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bifidobacterium cuniculi,Bacteria,Actinobacteria,Actinomycetia,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium cuniculi,Bifidobacterium cuniculi,0,0,0,0,0,0,0,0,0,0,0.00129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bifidobacterium pseudolongum AGR2145,Bacteria,Actinobacteria,Actinomycetia,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium pseudolongum,Bifidobacterium pseudolongum AGR2145,0,0,0,0,0,0,0,0,0,0,0.02857,0.10901,0.06531,0.05234,0.06859,0.04918,0.0369,0.07341,0.06286,0.03407,0.01409,0.02273,0,0.0101,0.01223,0.012,0.0207,0.03467,0.01343
Blautia sp. YL58,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,Blautia_u_s,Blautia sp. YL58,0,0.00144,0,0.00219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Burkholderiales_u_t,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiales_u_f,Burkholderiales_u_g,Burkholderiales_u_s,Burkholderiales_u_t,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0059,0,0,0,0,0,0,0,0,0,0,0,0,0
Burkholderiales bacterium 1_1_47,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiales_u_f,Burkholderiales_u_g,Burkholderiales_u_s,Burkholderiales bacterium 1_1_47,0,0,0,0,0,0,0,0,0,0,0.00295,0.00233,0,0.00204,0,0,0.00157,0,0,0.0031,0.00284,0.00291,0,0.0033,0.00636,0.00472,0.0024,0.00333,0.00129
Butyricimonas virosa DSM 23226,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Odoribacteraceae,Butyricimonas,Butyricimonas virosa,Butyricimonas virosa DSM 23226,0.00821,0,0,0,0.00119,0,0.00233,0,0,0.00614,0.00453,0.00439,0,0.00227,0,0.00616,0.00383,0,0,0,0,0,0.00287,0,0.01704,0,0,0.00506,0.00237
Candidatus Arthromitus_u_t,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Candidatus Arthromitus,Candidatus Arthromitus_u_s,Candidatus Arthromitus_u_t,0,0.00128,0,0,0.0017,0,0.00063,0,0,0,0,0,0,0,0,0,0,0.00043,0,0,0,0,0,0,0,0,0,0.00076,0.00136
Clostridium_u_t,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Clostridium_u_s,Clostridium_u_t,0,0,0,0,0,0,0,0,0,0,0,0,0.00043,0,0,0,0,0,0,0,0,0.00052,0,0,0,0,0.00051,0,0
[Clostridium] cocleatum,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Erysipelatoclostridium,[Clostridium] cocleatum,[Clostridium] cocleatum,0,0.00097,0,0.00139,0,0,0,0.00093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Schaedlerella arabinosiphila,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Schaedlerella,Schaedlerella arabinosiphila,Schaedlerella arabinosiphila,0.03424,0.00795,0.00342,0.01131,0.01949,0.01184,0.01802,0.01172,0.01385,0.01073,0.0011,0.00096,0.00104,0.00369,0.00109,0.00533,0.00342,0.00053,0.00113,0.00308,0.00413,0.0025,0.00891,0.00505,0,0.00313,0.00255,0.00111,0.00588
Dorea sp. 5-2,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Dorea,Dorea_u_s,Dorea sp. 5-2,0.01369,0.00831,0.00294,0.01018,0.00974,0.01158,0.00575,0.00946,0.01428,0.0064,0.00105,0.00059,0.00078,0.00216,0.00056,0.003,0.0026,0.00042,0,0.00175,0.00361,0.00117,0.00609,0.00224,0,0.00291,0.00095,0.00123,0.00305
Duncaniella sp. B8,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Muribaculaceae,Duncaniella,Duncaniella_u_s,Duncaniella sp. B8,0.00929,0.00768,0.00927,0.00922,0.0065,0.01101,0.00579,0.00809,0.0083,0.0077,0.0098,0.0038,0.00378,0.00583,0.00194,0.00431,0.00761,0.00239,0.0023,0.00459,0.01089,0.01187,0.00519,0.00954,0.00569,0.01019,0.00913,0.00561,0.00529
Duncaniella freteri,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Muribaculaceae,Duncaniella,Duncaniella freteri,Duncaniella freteri,0.11599,0.00914,0.00819,0.00981,0.08088,0.01138,0.04693,0.01002,0.01021,0.05831,0.00665,0.00472,0.00439,0.00622,0.00241,0.00543,0.00613,0.00316,0.00203,0.00447,0.00982,0.00997,0.0072,0.00852,0.00722,0.00979,0.00866,0.00704,0.00686
Enterococcus_u_t,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus_u_s,Enterococcus_u_t,0,0,0,0,0.00525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00343
Enterococcus faecalis,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus faecalis,Enterococcus faecalis,0,0,0,0,0.00669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Enterorhabdus caecimuris B7,Bacteria,Actinobacteria,Coriobacteriia,Eggerthellales,Eggerthellaceae,Adlercreutzia,Adlercreutzia caecimuris,Enterorhabdus caecimuris B7,0.03087,0.00542,0.00565,0.00634,0.01073,0.00532,0.01174,0.01389,0.00563,0.01546,0.00076,0.00151,0.00181,0.00277,0.00225,0.00252,0,0.00163,0.00156,0.00179,0.00463,0.00589,0.00279,0.00516,0.00269,0.0038,0.00496,0.00348,0.00375
Enterorhabdus mucosicola DSM 19490,Bacteria,Actinobacteria,Coriobacteriia,Eggerthellales,Eggerthellaceae,Adlercreutzia,Adlercreutzia mucosicola,Enterorhabdus mucosicola DSM 19490,0,0,0,0,0,0,0,0.00435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Enterorhabdus sp. NM05_H27,Bacteria,Actinobacteria,Coriobacteriia,Eggerthellales,Eggerthellaceae,Enterorhabdus,Enterorhabdus_u_s,Enterorhabdus sp. NM05_H27,0.00893,0.01007,0.00793,0.01115,0.00412,0,0.00498,0.02463,0.01126,0.00601,0.00115,0.00423,0.00414,0.00791,0.0052,0.00655,0,0.00374,0.00309,0.00441,0.00874,0.01143,0.00446,0.00967,0.00407,0.00728,0.00933,0.00463,0.00565
Eubacterium plexicaudatum ASF492,Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Eubacterium,Eubacterium plexicaudatum,Eubacterium plexicaudatum ASF492,0.00436,0.00352,0.00121,0.00399,0.00511,0.00505,0.00202,0.00106,0.00529,0.0028,0,0,0,0.0013,0.00038,0.00127,0.00125,0,0,0,0.00241,0,0.00538,0.00244,0,0.00234,0,0,0.00237
Eubacterium sp. 14-2,Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Eubacterium,Eubacterium_u_s,Eubacterium sp. 14-2,0.00357,0.0048,0,0.0055,0.0055,0.00676,0.00264,0.00136,0.00732,0.00398,0,0,0,0.0005,0,0,0,0,0,0,0.00092,0,0.00387,0.00077,0,0.00079,0,0,0.0026
Faecalibaculum rodentium,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Faecalibaculum,Faecalibaculum rodentium,Faecalibaculum rodentium,0.10858,0.0131,0.03607,0.01054,0.05175,0.02083,0.08972,0.05633,0.0168,0.1077,0.09542,0.25873,0.17591,0.16311,0.2224,0.21222,0.10629,0.21353,0.28495,0.13627,0.10891,0.21254,0.02027,0.14633,0.11136,0.1175,0.17582,0.15257,0.10923
Firmicutes bacterium ASF500,Bacteria,Firmicutes,Firmicutes_u_c,Firmicutes_u_o,Firmicutes_u_f,Firmicutes_u_g,Firmicutes_u_s,Firmicutes bacterium ASF500,0.00606,0.01506,0.00335,0.00971,0.00794,0.01133,0.00448,0.00189,0.02135,0.00689,0.00117,0.00137,0.00094,0.00248,0.00043,0.00105,0.00274,0,0,0.00239,0.00499,0.00104,0.01335,0.01002,0.00125,0.00619,0.00182,0.00157,0.00335
Lachnoclostridium sp. YL32,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnoclostridium,Lachnoclostridium_u_s,Lachnoclostridium sp. YL32,0,0,0,0,0,0,0,0,0.00112,0.00071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lachnospiraceae bacterium 10-1,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae_u_g,Lachnospiraceae_u_s,Lachnospiraceae bacterium 10-1,0.02322,0.0122,0.00521,0.01169,0.10735,0.01916,0.04664,0.00459,0.01805,0.04417,0.02014,0.008,0.01082,0.02624,0.01082,0.02346,0.02987,0.00527,0.00586,0.0131,0.00546,0.00721,0.08249,0.00665,0.01093,0.00993,0.00152,0.0099,0.03793
Lachnospiraceae bacterium 28-4,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae_u_g,Lachnospiraceae_u_s,Lachnospiraceae bacterium 28-4,0.02365,0.00572,0.00256,0.00545,0.02713,0.01111,0.01778,0.00213,0.00738,0.00399,0.01143,0.00109,0.0008,0.00202,0.0006,0.0023,0.01642,0,0,0.00128,0.00358,0.00055,0.01662,0.00451,0.00169,0.00336,0.00101,0.00118,0.00376
Lachnospiraceae bacterium 3-1,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae_u_g,Lachnospiraceae_u_s,Lachnospiraceae bacterium 3-1,0.00975,0.0095,0.00377,0.01048,0.01063,0.0133,0.00513,0.0037,0.01455,0.00768,0.00072,0.00071,0.00097,0.00258,0.00084,0.00382,0.00192,0,0,0.00126,0.00527,0.00129,0.00962,0.00505,0,0.00514,0.00117,0.00112,0.00486
Lachnospiraceae bacterium MD308,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae_u_g,Lachnospiraceae_u_s,Lachnospiraceae bacterium MD308,0.00489,0.00195,0.0008,0.00292,0.00289,0.00422,0.00149,0.00183,0.00285,0.0024,0.00044,0,0,0.00146,0.00032,0.00117,0.00102,0,0,0,0.00323,0.00051,0.00202,0.00171,0,0.00193,0.00072,0,0.00153
Lachnospiraceae bacterium A2,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae_u_g,Lachnospiraceae_u_s,Lachnospiraceae bacterium A2,0.01322,0.01018,0.00377,0.01416,0.01198,0.01934,0.0079,0.0054,0.01396,0.00836,0.00109,0.00085,0.00514,0.00297,0.00629,0.00322,0.00256,0.00378,0.00138,0.00183,0.00501,0.00122,0.01974,0.00427,0.00163,0.00427,0.00127,0.0011,0.00433
Lachnospiraceae bacterium A4,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae_u_g,Lachnospiraceae_u_s,Lachnospiraceae bacterium A4,0.01232,0.02379,0.00794,0.0216,0.02936,0.02932,0.01703,0.00356,0.04385,0.03275,0.00149,0.00079,0.00252,0.00343,0.00099,0.00216,0.00405,0.0007,0,0.00272,0.0064,0.00136,0.01768,0.00859,0.00175,0.00874,0.00117,0.00196,0.01024
Lachnospiraceae bacterium MD335,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae_u_g,Lachnospiraceae_u_s,Lachnospiraceae bacterium MD335,0.00643,0.00399,0.00149,0.00396,0.00501,0.00523,0.00249,0.0019,0.0084,0.0041,0.00101,0.00059,0,0.00264,0,0.0014,0.00238,0,0,0.0007,0.00244,0,0.01791,0.00214,0.00122,0.00265,0,0.00264,0.01268
Lachnospiraceae bacterium M18-1,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae_u_g,Lachnospiraceae_u_s,Lachnospiraceae bacterium M18-1,0.01117,0.00371,0.00149,0.0057,0.0064,0.0103,0.01038,0.0032,0.00358,0.00536,0,0.0006,0.0006,0.00119,0.00064,0.00241,0.00121,0,0,0.00144,0.00437,0.00138,0.00339,0.00395,0,0.00259,0.00187,0,0.00262
Lactobacillaceae bacterium,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillales_u_f,Lactobacillales_u_g,Lactobacillales_u_s,Lactobacillaceae bacterium,0,0.00236,0.07787,0.00303,0,0,0,0.02274,0.00757,0,0.05209,0.05945,0.07932,0.07905,0.09327,0.07275,0.06256,0.08018,0.10669,0.05992,0.0333,0.04438,0.01824,0.04181,0.03762,0.02778,0.04974,0.01888,0.02697
Ligilactobacillus animalis,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Ligilactobacillus,Ligilactobacillus animalis,Ligilactobacillus animalis,0,0.00591,0.00161,0.00293,0.00226,0,0.00106,0.00379,0,0,0.00065,0,0,0,0,0,0.00069,0,0,0.00039,0,0,0,0.00088,0.00101,0,0.00114,0.00108,0.00079
Lactobacillus intestinalis DSM 6629,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus intestinalis,Lactobacillus intestinalis DSM 6629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00035,0,0,0.00034,0,0,0,0,0,0,0,0,0,0,0
Lactobacillus johnsonii N6.2,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus johnsonii,Lactobacillus johnsonii N6.2,0,0.03126,0.09828,0.03261,0.00655,0,0.07801,0.10731,0.0481,0.0081,0.07656,0.1285,0.11317,0.1083,0.1234,0.10865,0.07832,0.12445,0.10545,0.06778,0.11347,0.0995,0.05406,0.10081,0.07563,0.08946,0.12061,0.05609,0.06795
Lactobacillus murinus ASF361,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Ligilactobacillus,Ligilactobacillus murinus,Lactobacillus murinus ASF361,0.03249,0.32929,0.15304,0.25808,0.16557,0.13616,0.079,0.22184,0.08685,0.03604,0.05845,0.01714,0.02424,0.02659,0.02217,0.02673,0.06318,0.02176,0.0113,0.04419,0.05629,0.05463,0.05765,0.09083,0.08206,0.04938,0.11701,0.08766,0.06482
Limosilactobacillus reuteri,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus reuteri,Limosilactobacillus reuteri,0,0,0,0,0,0,0,0,0,0.00072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lactobacillus reuteri TD1,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus reuteri,Lactobacillus reuteri TD1,0,0.00503,0.05258,0.00487,0,0,0.02366,0,0.02337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Limosilactobacillus reuteri subsp. murium,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus reuteri,Limosilactobacillus reuteri subsp. murium,0,0,0,0,0,0,0,0.04469,0,0,0.06847,0.0587,0.06019,0.05973,0.06847,0.04296,0.07974,0.06295,0.07341,0.05475,0.04691,0.09345,0.03137,0.05913,0.06102,0.04899,0.07785,0.05181,0.05726
Lactobacillus sp. ASF360,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus_u_s,Lactobacillus sp. ASF360,0,0.00288,0.10291,0.00353,0,0,0,0.02618,0.00911,0,0.07143,0.08875,0.11857,0.11549,0.15728,0.09546,0.07994,0.12946,0.1541,0.08599,0.03942,0.05512,0.02198,0.0502,0.04578,0.03418,0.06296,0.02315,0.03173
Lactobacillus taiwanensis DSM 21401,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus taiwanensis,Lactobacillus taiwanensis DSM 21401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00028,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mucispirillum schaedleri ASF457,Bacteria,Deferribacteres,Deferribacteres,Deferribacterales,Deferribacteraceae,Mucispirillum,Mucispirillum schaedleri,Mucispirillum schaedleri ASF457,0.00838,0.00715,0.00768,0.02793,0.04103,0.00982,0.02689,0.00225,0.09001,0.04647,0.00208,0.0004,0.00518,0.00224,0.00286,0.00702,0.00465,0.00185,0.00083,0.00264,0.01526,0.00103,0.04713,0.0052,0.00375,0.05689,0.00321,0.00088,0.03676
Muribaculaceae bacterium Isolate-001 (NCI),Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Muribaculaceae,Muribaculaceae_u_g,Muribaculaceae_u_s,Muribaculaceae bacterium Isolate-001 (NCI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00097,0,0,0.00092,0,0.00102,0,0,0
Muribaculaceae bacterium Isolate-004 (NCI),Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Muribaculaceae,Muribaculaceae_u_g,Muribaculaceae_u_s,Muribaculaceae bacterium Isolate-004 (NCI),0.00523,0.04557,0.01585,0.05154,0,0.03042,0.03955,0.03766,0.04063,0.03232,0.02745,0.00611,0.02026,0.02531,0.02141,0.01401,0.0197,0.02977,0.01984,0.03825,0,0.00085,0.05751,0,0.07508,0.00081,0.00066,0.04995,0.04726
